Question Number,Questions,A1,A2,A3,A4,Correct Answer
Q 1.,"The broker right to commission or to claim reimbursement of expenses incurred shall be lost if they worked for the benefit of the other party in contravention to their obligations towards whom they represent, or if they accept a promise to obtain a benefit from the other party in circumstances where the rules of good faith and the Professional Ethics Charter prevent the acceptance of such a promise.",(a)  Correct,(b)  Incorrect,,,Answer: (a)
Q 2.,Which of the following is a required duty by a Broker towards his/her client?,(a)  Secretariat,(b)  Equity,(c)  Loyalty,(d)  All of them,Answer: (d)
Q 3.,"According to the Code of Ethics, breaching the client privacy includes revealing the reason for the sale, or other private knowledge without your client permission.",(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 4.,Disciplinary action is a punishment resulting from RERA investigating and confirming a complaint against a licensee.,(a)  Correct,(b)  Incorrect,,,Answer: (a)
Q 5.,"Registered brokers have an ethical duty not to withhold relevant information, deliberately or unintentionally, from a Buyer or a Seller out of fear of losing the listing/deal.",(a)  Correct,(b)  Incorrect,,,Answer: (a)
Q 6.,It is a broker ethical duty to perform due diligence in order to avoid committing a mistake that could cause financial loss to any party in the real estate deal.,(a)  Correct,(b)  Incorrect,,,Answer: (a)
Q 7.,A Broker is required to take reasonable steps to avoid making a mistake that could result in his client suffering a financial loss. What is the correct term for taking such reasonable steps?,(a)  Due Diligence,(b)  Negligence,,,Answer: (a)
Q 8.,"An ethical broker delays presenting an ?offer to buy? to a Seller, or make an unauthorized decision regarding the sale without prior consent of the Owner of the property.",(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 9.,"As a broker, it is unethical to report unregistered brokers and illegal practices in the market to RERA.",(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 10.,"Guaranteeing future profits or future earnings, yield or ROI to investors, is a great way for a broker to market himself and is not considered a breach of the Code of Ethics.",(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 11.,The following is considered to be a breach of the code of ethics:,(a)  Treating all contracting parties equally,(b)  Respecting the privacy of the contracting parties,(c)  Failing to preserve all documents and instruments related to the real estate deal,,Answer: (c)
Q 12.,What should broker always do?,(a)  Follow contract A as practice in his daily property prospecting and sales,(b)  Make sure that all property listings on portals are having the right permit and right MLS number,(c)  Does not hide any information about the property from the client and cheat him by any means in order just to close the deal,(d)  All answers are correct,Answer: (d)
Q 13.,The following is considered to be a breach of the brokers Professional Ethics Charter:,(a)    Failing to preserve all documents pertaining to the transaction and keeping a record of all their concluded transactions.,(b)    Safeguarding the customers’ rights by ensuring the accuracy of the information related to the procedures.,(c)    Committing to the confidentiality of information of the parties.,,Answer: (a)
Q 14.,"Which of the following best describes an invalid contract according to good ethical conduct and practices, as well as a licensed real estate broker?",(a)  All clients are treated in equally fair and honesty.,(b)  Clients will have preference according to profit generated by each of them.,(c)  Some clients are treated better than others.,(d)  Clients are served on a first-come basis.,Answer: (a)
Q 15.,What should happen if the owner is selling his house on as is basis and there are defects known to both of them?,(a)  Disclose the defect,(b)  Stay confidential,(c)  إصلاح الخلل,(d)  Repair the defect,Answer: (a)
Q 16.,"Once a contract A or B relationship is ended, any confidential information gathered by the brokers during the relationship is ...?",(a)  Remain confidential,(b)  Is void,(c)  Can be used in future deals,(d)  Remains as part of historical MLS database,Answer: (a)
Q 17.,What actions should the broker refrain from doing?,(a)  Disclosure of the owners personal information if it is shared with him as confidential,(b)  Do not share the owners contact details with other brokers without his permission,(c)  Not receiving commission outside the contract information,(d)  Not to disclose the personal information of the owner if it is shared with him as confidential,Answer: (a)
Q 18.,A person must be a RERA registered broker to collect a commission from a real estate transaction?,(a)  Correct,(b)  Incorrect,,,Answer: (a)
Q 19.,A real estate broker holding a blue card is not allowed to sell and rent the following:,(a)  Real estate units in Dubai free zones,(b)  Real estate units in time-sharing projects,(c)  Real estate units in freehold areas under Law 3 of 2006,,Answer: (b)
Q 20.,"It is the duty of a registered broker to get the details of the escrow account of the project and to provide the same to the investors, in order to ensure all payments are made to the trust account of the project, and to also make sure the account is in the name of:",(a)  Real Estate Developer,(b)  Dubai Land Department,(c)  Project,(d)  Buyer,Answer: (c)
Q 21.,A Power of Attorney used in a real estate transaction:,(a)  That the agency is secured by the property to be sold,(b)  That the agency is general and includes all actions in the transfer of ownership,(c)  All of the above,,Answer: (c)
Q 22.,"In the UAE, each of the seven Emirates is allowed to issue its own laws governing real estate.",(a)  Correct,(b)  Incorrect,,,Answer: (a)
Q 23.,A RERA registered broker violations include:,(a)  Marketing of unregistered projects,(b)  Report brokers who are not registered with RERA,(c)  Dealing with a broker who is not registered with RERA,(d)  All of them,Answer: (d)
Q 24.,The broker has the right to receive any amount of the value of the property in his own account:,(a)  Incorrect,(b)  Correct,,,Answer: (a)
Q 25.,"A Landlord may evict a Tenant, after giving 12 months notice (properly served), for the following reason(s):",(a)  B) To allow a new Tenant to occupy the property at a higher rental rate,(b)  None of them,(c)  A) The Landlord wishes to live in the property himself,,Answer: (c)
Q 26.,"A Landlord is allowed to demand the eviction of a Tenant, where the Tenant has failed to pay the rent, upon:",(a)  30 days notice,(b)  12 months notice,(c)  No notice is required; the Landlord can evict the tenant immediately,(d)  90 days notice,Answer: (a)
Q 27.,"If a Landlord includes a clause that the Lease is non-renewable after the initial one-year lease term, is it enforceable?",(a)  No.  A lease is always renewable in accordance with the terms of the law.,(b)  Yes if the tenant signs a vacating letter,(c)  Yes.  A lease is non-renewable.,,Answer: (a)
Q 28.,Cheques are considered stale in Dubai after how long?,(a)  6 Months,(b)  24 Months,(c)  12 Months,(d)  18 Months,Answer: (a)
Q 29.,"Under Law 6 of 2019, the Developer is under obligation to:",(a)  Repair or correct any defects in the structural parts of the common property for a period of ten years from the date of the certificate of completion for the project,"(b)  Repair or replace defective fixtures in the common property for a period of one year from the date of handing over the unit to the owner. Fixtures are defined as including mechanical and electrical works, sanitary fittings, sewerage and suchlike.",(c)  All answers are correct,,Answer: (c)
Q 30.,"what are the Dubai land department fees for registering the property with an ask/ agreed price of AED 2,000,000 and has the Dubai land department valuation of AED 2,500,000?","(a)  AED 50,000 + knowledge and innovation fees","(b)  AED 80,000 + knowledge and innovation fees","(c)  AED 100,000 + knowledge and innovation fees","(d)  AED 40,000 + knowledge and innovation fees",Answer: (c)
Q 31.,Is it possible to obtain a residence permit on the property?,"(a)  Yes, if property purchase value is at least AED 750,000 and paid amount is at least AED 750,000","(b)  Yes, if property purchase value is above AED 750,000","(c)  Yes, if property purchase value is above AED 2millions",(d)  None of the answers are correct,Answer: (a)
Q 32.,what is the condition to get a golden residence permit?,"(a)  The property purchase value is at least AED 2,000,001",(b)  None of the answers are correct,"(c)  The property purchase value is at least AED 2,000,000 and paid amount is at least AED 2,000,000","(d)  Property purchase value is at least AED 750,000 and paid amount is at least AED 750,000",Answer: (c)
Q 33.,Which authority is in charge of the real estate project construction progress?,(a)  Dubai Municipality,(b)  Dubai Silicon Oasis,(c)  Trakhees,(d)  Dubai Land Department,Answer: (d)
Q 34.,When property cannot be listed on electronic portals in Dubai?,(a)  If broker card license is expired,(b)  If property is mortgaged,(c)  If property is leased and has Ejari,(d)  All answers are correct,Answer: (a)
Q 35.,When property can not be listed on electronic portals in Dubai?,(a)  If property is restrained,(b)  If broker card license is active and real estate office license is expired,(c)  If property is leased and has Ejari,(d)  If property has contract a,Answer: (a)
Q 36.,What is the notice duration to be given to existent tenant of residential property if sold to new owner?,(a)  12 months,(b)  3 months,(c)  6 months,(d)  Can not be vacated except for property maintenance or demolition,Answer: (a)
Q 37.,What is the percentage allowed to be forfeited by the developer on approved termination of sold off plan property due to shortfalls from the owner side?,(a)  40% of price value if project progress not less than 60%,(b)  40% of property price if project progress not less than 40%,(c)  25% of property price if project progress not less than 60%,(d)  60% of property price if project progress not less than 60%,Answer: (a)
Q 38.,Where do I apply for residency permit on the property I own?,(a)  Cube center at Dubai Land Department building,(b)  Gdrfa Amer offices,(c)  Gdrfa online system,(d)  All answers are correct,Answer: (a)
Q 39.,Where should owners pay property installments in an off plan project?,(a)  To the escrow account of the project,(b)  Directly to the developer,(c)  To Dubai Land Department bank account,(d)  None of the answers are correct,Answer: (a)
Q 40.,Where do management companies claim for unpaid service charge by the owners?,(a)  Rental dispute center,(b)  Dubai courts,(c)  Dubai police for bounced cheques,(d)  None of the answers are correct,Answer: (a)
Q 41.,What are Dubai Land Department for registering Takharuj,(a)  1% of the value of real estate property subject to the transfer (takharuj),"(b)  Aed 1,000 of the value of real estate property subject to the transfer (takharuj)",(c)  2% of the value of real estate property subject to the transfer (takharuj),(d)  None of the answers are correct,Answer: (a)
